participant_id,session_start_time,session_end_time,session_duration_ms,record_created_at
386be8d7-6771-4885-8745-e30399b113d0,2025-11-03 16:15:04.861+00,2025-11-03 16:18:43.745+00,218884.0,2025-11-03 16:18:49.777865+00
e9a313e1-1c7e-4546-9f45-cb2354489190,2025-10-31 14:37:38.698+00,2025-10-31 14:39:42.636+00,123938.0,2025-10-31 14:37:39.53774+00
e9a313e1-1c7e-4546-9f45-cb2354489190,2025-10-31 14:34:54.033+00,2025-10-31 14:37:21.381+00,147348.0,2025-10-31 14:34:54.839927+00
e9a313e1-1c7e-4546-9f45-cb2354489190,2025-10-31 14:32:43.001+00,2025-10-31 14:34:36.741+00,113740.0,2025-10-31 14:32:43.992406+00
e9a313e1-1c7e-4546-9f45-cb2354489190,2025-10-31 14:28:52.596+00,2025-10-31 14:32:07.073+00,194477.0,2025-10-31 14:28:53.169282+00
a65764e7-9c2f-4219-aa12-fd54da7bf875,2025-10-31 14:20:03.706+00,2025-10-31 14:29:11.106+00,547400.0,2025-10-31 14:20:04.019855+00
145a5e3a-5d68-4457-9cc1-eaffd6662734,2025-10-31 14:11:26.098+00,2025-10-31 14:12:44.327+00,78229.0,2025-10-31 14:11:26.951435+00
145a5e3a-5d68-4457-9cc1-eaffd6662734,2025-10-31 14:08:54.546+00,2025-10-31 14:10:36.68+00,102134.0,2025-10-31 14:08:55.307388+00
145a5e3a-5d68-4457-9cc1-eaffd6662734,2025-10-31 14:01:24.845+00,,,2025-10-31 14:01:25.241574+00
de565c32-62e7-4659-92f7-bfd80fc0a61c,2025-10-31 12:42:10.932+00,2025-10-31 12:47:23.384+00,312452.0,2025-10-31 12:42:10.67714+00
248c1f6f-3b38-4411-a85c-8040a5a74f4d,2025-10-30 23:09:59.046+00,2025-10-30 23:10:03.891+00,4845.0,2025-10-30 23:10:01.854814+00
248c1f6f-3b38-4411-a85c-8040a5a74f4d,2025-10-30 23:06:39.369+00,,,2025-10-30 23:06:40.413724+00
6e109541-c2ae-46ea-827a-edf44d67660e,2025-10-30 20:49:18.025+00,2025-10-30 20:49:51.225+00,33200.0,2025-10-30 20:49:18.398242+00
6e109541-c2ae-46ea-827a-edf44d67660e,2025-10-30 20:49:08.929+00,2025-10-30 20:49:14.788+00,5859.0,2025-10-30 20:49:09.182046+00
5f62d87d-4912-454b-94d1-309c26c16b08,2025-10-30 19:22:14.585+00,2025-10-30 19:23:45.403+00,90818.0,2025-10-30 19:22:15.02126+00
8a704f7e-d8ff-41c4-9b3e-59fcd5f499cc,2025-10-30 16:35:28.994+00,2025-10-30 16:46:18.797+00,649803.0,2025-10-30 16:35:29.987691+00
0e8e279b-2364-4850-9f67-b682817f8378,2025-10-29 21:40:08.736+00,2025-10-29 21:40:54.311+00,45575.0,2025-10-29 21:40:06.445007+00
0e8e279b-2364-4850-9f67-b682817f8378,2025-10-29 21:36:31.687+00,2025-10-29 21:37:07.222+00,35535.0,2025-10-29 21:36:29.348206+00
0e8e279b-2364-4850-9f67-b682817f8378,2025-10-29 21:36:17.392+00,2025-10-29 21:36:21.823+00,4431.0,2025-10-29 21:36:15.094809+00
0e8e279b-2364-4850-9f67-b682817f8378,2025-10-29 21:09:41.332+00,2025-10-29 21:36:08.767+00,1587435.0,2025-10-29 21:09:38.773641+00
0e8e279b-2364-4850-9f67-b682817f8378,2025-10-29 21:06:12.258+00,,,2025-10-29 21:06:09.735897+00
1940263c-44df-4d4e-99cc-30f9f694a859,2025-10-29 09:54:13.488+00,2025-10-29 09:54:57.114+00,43626.0,2025-10-29 09:54:13.833628+00
922bc86b-cd31-4f8c-8888-2478c91fbeeb,2025-10-28 23:18:28.427+00,2025-10-28 23:19:08.492+00,40065.0,2025-10-28 23:18:29.198111+00
922bc86b-cd31-4f8c-8888-2478c91fbeeb,2025-10-28 23:04:36.469+00,2025-10-28 23:17:13.92+00,757451.0,2025-10-28 23:04:37.079348+00
e755ba77-40fc-4737-b6f4-077633acb963,2025-10-28 18:45:14.949+00,,,2025-10-28 18:45:15.60148+00
e755ba77-40fc-4737-b6f4-077633acb963,2025-10-28 18:42:55.087+00,2025-10-28 18:44:01.302+00,66215.0,2025-10-28 18:42:55.649443+00
e755ba77-40fc-4737-b6f4-077633acb963,2025-10-28 18:40:11.171+00,2025-10-28 18:42:22.834+00,131663.0,2025-10-28 18:40:11.560975+00
416d5225-0175-4c9d-964c-2998e2d7acb1,2025-10-28 17:59:49.324+00,2025-10-28 18:18:32.078+00,1122754.0,2025-10-28 17:59:49.675607+00
416d5225-0175-4c9d-964c-2998e2d7acb1,2025-10-28 17:59:49.324+00,2025-10-28 18:18:33.348+00,1124024.0,2025-10-28 18:18:33.780623+00
193a0563-b869-4bbe-aa9e-d81bacf59a3e,2025-10-27 16:24:36.291+00,2025-10-27 16:27:27.712+00,171421.0,2025-10-27 16:24:36.894188+00
193a0563-b869-4bbe-aa9e-d81bacf59a3e,2025-10-27 16:21:43.736+00,2025-10-27 16:24:24.47+00,160734.0,2025-10-27 16:21:44.028525+00
193a0563-b869-4bbe-aa9e-d81bacf59a3e,2025-10-27 16:21:04.827+00,,,2025-10-27 16:21:05.152256+00
25040da2-2cce-4925-9fbd-855669f4cb23,2025-10-27 15:51:30.975+00,2025-10-27 15:52:07.23+00,36255.0,2025-10-27 15:51:29.865676+00
25040da2-2cce-4925-9fbd-855669f4cb23,2025-10-27 15:47:07.6+00,2025-10-27 15:50:52.599+00,224999.0,2025-10-27 15:47:06.350597+00
328a652b-9ad2-4b70-ad1a-49a8f1fcc02d,2025-10-27 14:38:53.696+00,2025-10-27 14:43:18.139+00,264443.0,2025-10-27 14:38:54.006917+00
5210feaa-5c2a-4444-b912-dc52d88c72c5,2025-10-27 13:12:42.174+00,2025-10-27 13:17:26.664+00,284490.0,2025-10-27 13:12:39.718749+00
b7a9b5f0-50fe-47ea-ac8a-f6ef1df7ba72,2025-10-27 12:49:42.656+00,2025-10-27 12:50:38.96+00,56304.0,2025-10-27 12:49:43.260848+00
b7a9b5f0-50fe-47ea-ac8a-f6ef1df7ba72,2025-10-27 12:45:05.881+00,2025-10-27 12:48:20.58+00,194699.0,2025-10-27 12:45:06.139878+00
faab30af-69f5-4422-bab2-0387d01d8765,2025-10-27 11:50:06.339+00,2025-10-27 11:50:22.972+00,16633.0,2025-10-27 11:50:28.548089+00
faab30af-69f5-4422-bab2-0387d01d8765,2025-10-27 11:50:06.339+00,2025-10-27 11:50:25.447+00,19108.0,2025-10-27 11:50:08.041729+00
faab30af-69f5-4422-bab2-0387d01d8765,2025-10-27 11:47:27.969+00,2025-10-27 11:49:53.513+00,145544.0,2025-10-27 11:47:29.464262+00
5ce7762a-639c-456b-9482-8f3d2c2094f9,2025-10-27 11:31:39.802+00,2025-10-27 11:31:55.142+00,15340.0,2025-10-27 11:31:40.045493+00
5ce7762a-639c-456b-9482-8f3d2c2094f9,2025-10-27 11:25:53.258+00,2025-10-27 11:31:05.566+00,312308.0,2025-10-27 11:25:53.290201+00
bb7758ff-4018-4589-9209-4c9d1cfb3556,2025-10-27 11:21:53.182+00,2025-10-27 11:22:03.878+00,10696.0,2025-10-27 11:21:54.160223+00
bb7758ff-4018-4589-9209-4c9d1cfb3556,2025-10-27 11:20:02.307+00,2025-10-27 11:20:04.372+00,2065.0,2025-10-27 11:20:02.788167+00
bb7758ff-4018-4589-9209-4c9d1cfb3556,2025-10-27 11:19:20.58+00,2025-10-27 11:19:55.847+00,35267.0,2025-10-27 11:19:21.184999+00
bb7758ff-4018-4589-9209-4c9d1cfb3556,2025-10-27 11:16:46.988+00,2025-10-27 11:18:41.884+00,114896.0,2025-10-27 11:16:47.313023+00
